Zip,Total Population,Median Age,Percent White,Percent Black,Percent Hispanic,Median Income,Mean Income
10607,6903,43.2,48.4,31.6,18.5,127979,164121
10701,62939,33.4,43.6,31.1,41.6,42276,59044
10703,20367,36.1,64.6,20.4,31.7,61660,72163
10704,29807,40.8,72.2,7.9,18.6,63512,76818
10705,38142,33.9,35.1,18,52.8,44564,62162
10706,8698,44.9,88.6,1.2,5.4,127241,178114
10707,10330,38.9,79.1,8.2,10.6,97996,127893
10708,21309,42.5,86.3,4.2,12.7,96580,165935
10709,9586,41.2,90.8,2.4,7.1,94200,134326
10710,25472,43.8,65.6,13.3,18.2,74163,91295
10801,40120,34.2,56.3,25,35.8,54056,78823
10803,12392,38.6,83.4,6.4,7.3,138793,219074
10804,15019,43,85.3,8.8,5.2,156636,220389
10805,17828,41.7,65.1,17.1,23.1,55420,68289
10901,23007,42.5,79.2,6.1,13.8,84542,119667
10910,0,,,,,,
10911,0,,,,,,
10913,5245,40.7,84.9,0.8,6.7,119049,149212
10914,287,9,3.1,0,33.1,170516,125097
10915,216,46.1,100,0,0,43107,33890
10916,4518,40.4,89,4.5,11.3,101563,114370
10917,2134,37.8,74.9,6.6,17.2,98056,105785
10918,11480,40.2,85.6,7.8,11.8,86104,96269
10919,1149,44.1,90.5,0.7,16.4,84808,100299
10920,8385,41.7,78.4,3.7,12.6,95300,116213
10921,3926,50.4,83.7,3.6,15.9,74226,89858
10922,998,42.9,87.7,0,15.4,82000,89964
10923,8587,35.9,79.5,10.1,34.3,86603,102753
10924,13091,41.1,83.8,7.1,8.6,86801,99799
10925,4370,37.6,92.2,1.7,14.4,72392,98978
10926,3009,39.4,71.4,14.6,14.1,74661,95258
10927,11711,34.3,55.5,21,58,50498,72812
10928,4009,37.3,67.2,19.1,11.8,66164,73799
10930,8937,39.9,85.6,4.2,8,113214,125882
10931,1024,39.2,43.3,17.7,17.8,78125,85449
10932,71,56.5,100,0,0,,
10933,216,44,100,0,0,53672,97931
10940,48800,37.2,60.6,14.5,30.5,60280,72930
10941,13585,37.7,60.9,18.3,23.9,72991,87169
10950,46739,24.4,89,1.9,9.3,76313,91203
10952,38285,22,91.8,3.8,2.7,57901,85488
10953,152,48.2,100,0,0,19375,51271
10954,23125,42.2,73.4,12.8,10,86829,102433
10956,31335,43.8,82.3,3.7,8.2,116213,142313
10958,3538,39.7,76.2,11,20.8,84293,95435
10960,15261,38.6,69.2,20.8,12.2,71160,104854
10962,5915,44,76.6,5.4,14.8,105625,128947
10963,3669,37.7,65.6,24.6,14,74331,82212
10964,1651,52.2,96.7,2.1,4.3,65703,111232
10965,14710,40.6,88.7,2.3,4.1,95689,119193
10968,2099,55.1,92.3,1.6,1.5,93906,114439
10969,1522,43.6,63.1,0,37.5,99208,101709
10970,9795,41.7,71.1,15.8,22.1,79265,107746
10973,2286,38.5,93.2,0,2.7,65883,79528
10974,3125,38.1,86.9,4.4,7.4,87807,100928
10975,455,40.9,100,0,7.7,71641,75755
10976,2087,43.6,89,3.7,10,38003,62636
10977,57800,27.8,44.5,31.7,24.1,63423,82356
10979,192,55.2,100,0,0,61654,57187
10980,13330,42.9,85.1,5.6,10.9,102937,117487
10983,5528,43.1,82.5,2.6,13.8,99985,118914
10984,3282,41.7,90.6,5.9,20.7,133281,138118
10985,115,20,100,0,0,,
10986,2013,37.6,96.9,2.3,3.1,99815,133405
10987,3196,42.6,90.2,2.3,1.6,82604,129456
10988,902,35.3,95.1,2.7,12.6,78393,76441
10989,9934,46.6,79,6.4,10.6,96065,111421
10990,20598,42,88.9,4.4,9,91805,111761
10992,10460,40.6,80.1,7.7,15.2,84196,100079
10993,4587,34.9,61,18,39.4,54798,83168
10994,6861,40.8,83.1,2.5,7.2,132724,157222
10996,7570,20.9,82.8,5.1,12.6,97361,136197
10998,3082,42.6,94.2,5.6,6.7,92500,105953
11001,26905,40.8,73.2,6.4,10.5,99974,115454
11003,43910,36.6,28,42.9,20.6,83081,94941
11004,14050,40.8,49.1,4.1,12.1,79102,90821
11005,1797,79.5,98.8,1.2,2.6,61912,100566
11010,23790,42,85.6,2.3,11.1,89369,102470
11020,5975,44.5,62.6,6.4,15.1,136379,189322
11021,17544,46.5,79.7,3,7.3,98063,142354
11023,8954,44,90.1,0.4,4.2,98125,150732
11024,7853,40.5,88.2,4,6.6,97917,163032
11030,17914,43.1,84.8,1.3,5.6,179101,266087
11040,40296,44.3,62.7,2.2,8.2,97798,116904
11042,534,83.1,66.5,27.7,12.7,,
11050,30197,42,80.6,1.3,15.9,105118,158121
11096,8443,33.6,35.9,26.7,45.7,54803,68975
11101,23798,32.6,49.4,16.9,37.6,41799,62059
11102,33432,32.5,58.4,7.2,34.8,47249,61720
11103,36508,35.1,75.7,2.6,24.6,52968,68609
11104,26230,36.5,62.9,1.4,26.1,54152,65230
11105,38103,35,77.7,2.1,23.1,56935,71821
11106,36305,36,59.6,8.2,28.9,47580,61476
11109,2916,31.4,74.6,4.5,12.4,132875,167259
11201,51356,35.3,66.6,14.1,12.6,91764,155523
11203,80337,38.2,4.3,91.1,5.9,48797,62792
11204,78690,34.2,69.7,0.7,10.3,44312,59739
11205,38997,29.4,48.7,33.2,22.6,42760,66807
11206,79674,27.8,41.7,27.5,44.9,28114,41829
11207,89676,30,13.8,65.6,33.7,33127,44627
11208,93447,30.4,32.3,48.8,43.8,35437,46642
